5,@azharflicks
1048,@SunRisers
2572,@IPL
16,@MSAalamOfficial
38,@MarathiRT
38,@MarathiBrain
38,@HashTagMarathi
40,@Mazi_Marathi
12,@eBay
1,@BarThingz
379,@sachin_rt
1,@rssurjewala
15,@BJP4India
545,@BCCI
14,@BCCIdomestic
22,@JayShah
71,@GautamGambhir
3136,@ChennaiIPL
555,@cheteshwar1
381,@stevesmith49
2,@CrownePlazaChn
1,@startv
1,@Bhavna_B
1,@VinothK45716475
1237,@KKRiders
2224,@mipaltan
68,@SriniMaama16
443,@iamsrk
415,@msdhoni
5,@chennaiipl
2,@starsportsindia
1,@bhavnabalakrishnan
1,@cskfanofficial
1631,@Gmaxi_32
214,@cricketaakash
402,@bhogleharsha
1100,@DelhiCapitals
3584,@RCBTweets
25,@cricketcomau
9,@icc
4,@robbieuthappa
7,@arjuntindulkar
12,@abhisheknayar1
378,@Sah75official
112,@CSKFansOfficial
3,@OOIDA
2,@Land_Line_Now
3,@KerryES
197,@ESPNcricinfo
3,@Martyguptill
44,@AaronFinch5
76,@JasonRoy20
51,@AlexHales1
1,@mornemorkel65
1237,@rajasthanroyals
1418,@PunjabKingsIPL
1,@Textio
367,@Vivo_India
14,@Dream11
35,@SGanguly99
38,@IndinewsO
1,@pinkyk1980
2,@Jay_parmar17
1,@blessedkamal
1,@yashgandhi66
2,@chilled_Sup
1,@fotokiran
1,@shineysimar
1,@sengodan4
1,@Indiasreaction1
1,@Magics_In_Me
1,@Vikram_143226
1,@MdTousi54071392
187,@cricbuzz
183,@ImRo45
1,@sachintendulkar
1,@AmbaniTina
515,@imVkohli
2,@SachinT62115737
1,@TUSHARKHARE14
57,@Hanumavihari
10,@IPLAuctionLive
15,@mykhelcom
11,@devdpd07
355,@ABdeVilliers17
1,@shamsi90
15,@gurkiratsgill
74,@karun126
11,@ajinkyarahane88
70,@WasimJaffer14
404,@Tipo_Morris
19,@IPLFantasy
55,@MichaelVaughan
42,@KP24
39,@IrfanPathan
16,@cricketwallah
152,@vikrantgupta73
15,@ShreyasIyer15
8,@Eoin16
52,@klrahul11
1,@_unique_sha_
1,@00Tuhin0
1,@_13Freedom
1,@SAAdil99
1,@Ummati_Muslimah
1,@SAH_sarinn5
1,@Its_Baby_Doll1
85,@gowthamyadav88
70,@ImRaina
1,@jyotiyadaav
1,@DeepakSTakola
1,@pradeep_ece
1,@sarabjeetsj
1,@coomarashish
1,@Krishna18784427
1,@BabluDevanda2
1,@awasthis
30,@yuzi_chahal
1,@speak_nilesh
1,@deccanherald
38,@danchristian54
